District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,address,latitude,longitude,gmaps_name,gmaps_id
Brownwood ISD,https://www.brownwoodisd.org/covid19,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"2707 Southside Dr, Brownwood, TX 76801, United States",31.69100929999999,-98.9728777,Brownwood Independent School District,9d08fa6aea9a312114e9ec986e644bb142a9bba8
Bruceville- Eddy ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bruceville-Eddy Independent School District, TX, USA",31.3099419,-97.24371049999999,Bruceville-Eddy Independent School District,567f508ea22d643f14a906928ee13d44b37fb682
Big Springs Charter School System / Brune ,https://www.facebook.com/247033878668322/photos/pcb.3100481409990207/3100480443323637/?type=3&theater,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,True,False,,,,,,,,,,,
Bryan ISD,https://www.bryanisd.org/apps/pages/index.jsp?uREC_ID=1694662&type=d&pREC_ID=1853658,Details:,False,"Bryan High School, Long Intermediate, Jones Elementary, and Kemp",2020-03-16,2020-04-10,False,False,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,,"801 S Ennis St, Bryan, TX 77803, United States",30.66292799999999,-96.36754289999999,Bryan Independent School District,8e983f14b78347e9d8fa17bdd94f22fc1756e13c
Bryan ISD,https://www.bryanisd.org/apps/pages/index.jsp?uREC_ID=1694662&type=d&pREC_ID=1853658,Details:,False,"Bryan High School, Long Intermediate, Jones Elementary, and Kemp",2020-03-16,2020-04-10,False,False,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,,"800 Texas Ave, Bryan, TX 77803, United States",30.6668329,-96.3716079,Bryan ISD Technology Support Center,5ec1ae18b3667bcc184202f473f944265f26eb5f
Bryan ISD,https://www.bryanisd.org/apps/pages/index.jsp?uREC_ID=1694662&type=d&pREC_ID=1853658,Details:,False,"Bryan High School, Long Intermediate, Jones Elementary, and Kemp",2020-03-16,2020-04-10,False,False,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,,"3225 McHaney Dr, Bryan, TX 77803, United States",30.7059357,-96.3739277,Bryan I.S.D. Transportation,e6a66aeb05e0abf09e90c596c603e15e4fa0575f
Buffalo ISD,http://www.buffaloisd.net/,,False,West Patio at Buffalo Lower Junior High,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:30 AM,1:00 PM,,,"Buffalo Independent School District, TX, USA",31.51050249999999,-96.0044121,Buffalo Independent School District,f9e67f42aa781a2f2cf51ffd6468b7b185f4beca
Bullard ISD,https://www.bullardisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bullard Independent School District, TX, USA",32.1289598,-95.37301760000001,Bullard Independent School District,ab13ed4b933a1772a7ecc3da231f6a073272e2ce
Burleson ISD,http://bit.ly/burlesonisdhealthupdate.,Details:  Burleson ISD will provide free,False,"Brock, Taylor, and Norwood",2020-03-23,2020-04-03,False,True,True,False,True,False,False,False,10:00 AM,2:00 PM,,,,,"Burleson Independent School District, TX, USA",32.5297156,-97.286868,Burleson Independent School District,e9a9ee945b3dc345a8e8a1a3a73b440a4245d268
Burnet CISD,https://www.burnetcisd.net/apps/news/article/1190129,,False,,2020-03-23,2020-04-03,False,False,False,False,False,False,True,False,,,,,,,"Burnet Consolidated Independent School District, TX, USA",30.8667225,-98.1775638,Burnet Consolidated Independent School District,dd238139f61eb04262519a206539d8d5e487efc3
Caddo Mills ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"100 Fox Ln, Caddo Mills, TX 75135, United States",33.0777989,-96.2274925,Caddo Mills Independent School District,027ace827301ceb596f016e63c02ddc7eea42951
Calvert ISD,http://www.calvertisd.com/,,False,Highschool Cafeteria,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,10:00 AM,12:00 PM,,,,,"Calvert Independent School District, TX, USA",30.9753601,-96.6851982,Calvert Independent School District,80a3c81a9eb0628fc3fa5f7b58a72d97706d476f
Cameron ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Cameron Independent School District, TX, USA",30.8464252,-96.9638624,Cameron Independent School District,eba7a3eef5b56b420d8d2d7b07049a9501623311
Canutillo ISD,http://www.canutillo-isd.org/COVID19 ,Details: Canutillo ISD will serve free breakfast and lunch for any child ages,False,"Canutillo High School, Bill Childress Elementary, Garcia Elementary, Canutillo Elementary",2020-03-23,2020-04-04,False,True,True,False,False,True,False,False,7:00 AM,9:00 AM,11:00 AM,1:00 PM,,,"Canutillo Independent School District, TX, USA",31.912447,-106.5584071,Canutillo Independent School District,6a81d8baf804b796ca25268644542978c28441f4
Carlisle ISD,https://www.carlisleisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Carlisle Independent School District, TX, USA",32.0552871,-94.9558696,Carlisle Independent School District,139ba7688516e9f5db5c34fd95398276ea64630c
Carroll ISD,https://www.southlakecarroll.edu/Page/3170,Details: Carroll ISD students enrolled in the Free,False,,2020-03-16,2020-04-03,False,False,True,False,False,True,False,True,11:00 AM,12:30 PM,,,,,"Carroll Independent School District, TX, USA",32.9533477,-97.1467072,Carroll Independent School District,a42d5fae79ae04fb7dc229e180e99c1c36b247f7
