District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3
Ogelsby ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Ore City ISD,https://www.ocisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Overton ISD,http://www.overtonisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Paint Rock ISD,http://www.paintrockisd.net,Details: This week,False,,2020-03-16,2020-03-27,False,True,True,False,False,True,False,False,,,,,,
Panther Creek ISD,https://www.pcreek.net,Details: Orders can be placed by,False,Not Specified,2020-03-16,2020-03-20,False,False,True,False,False,True,False,False,10:30 AM,11:30 AM,,,,
Paris ISD,https://www.parisisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Pasadena ISD,https://www1.pasadenaisd.org/,,False,"J Frank Dobie High School, Sam Rayburn High School, Pasadena High School, South Houston High School, Pasadena Memorial High School",2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:00 AM,12:30 PM,,
Pearland ISD,https://www.pearlandisd.org/,Details:  On Mondays,False,"Carleston Elementary, Lawhon Elementary, PACE Center",2020-03-16,2020-04-10,False,True,True,False,True,False,False,False,11:00 AM,12:30 PM,,,,
Perrin-Whitt ISD,https://s3.amazonaws.com/scschoolfiles/1509/covid19.pdf ,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Pflugerville ISD,http://www.pfisd.net/site/Default.aspx?PageID=7656,,False,,2020-03-16,2020-03-27,False,False,False,False,False,False,False,False,,,,,,
Pine Tree ISD,http://www.ptisd.org/,,False,,2020-03-16,2020-03-27,False,False,False,False,False,False,False,False,,,,,,
Pittsburg ISD,https://www.pittsburgisd.net/,Details: Pickup at the High School,False,High School cafeteria or the Elementary,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,8:00 AM,9:00 AM,11:00 AM,12:30 PM,,
Plano ISD,https://www.pisd.edu/Page/22423,Details:Plano ISD is currently providing free grab-and-go breakfast and lunch meals at several locations across the district. Armstrong Middle School,False,"Armstrong Middle School, Daffron, Huffman, Meadows, Haggar, Sigler, and Thomas Elementaries.",2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,7:30 AM,8:30 AM,11:00 AM,12:30 PM,,
Pleasonton ISD,https://www.pisd.us/apps/pages/index.jsp?uREC_ID=1694901&type=d&pREC_ID=1854518,Details: Curbside Student Meals will be provided at Pleasanton Junior High Campus Only,False,Pleasanton Junior High,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,8:30 AM,10:00 AM,12:00 PM,1:30 PM,,
Poth ISD,https://www.pothisd.us/,Details: This will be a drive by pick up. Children must,False,Front of Poth ISD Cafeteria,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,8:00 AM,9:00 AM,11:00 AM,12:30 PM,,
Port Arthur ISD,,,False,,2020-03-01,2021-03-01,True,False,False,False,False,False,True,False,,,,,,
Poteet ISD,http://ww1.poteetisd.org/district/,Details: Children under the age of,False,IMS Pickup,2020-03-17,2020-03-20,False,False,False,False,True,False,False,False,9:00 AM,1:00 PM,,,,
Prairieland ISD,https://www.prairiland.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Princeton ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Pro-Vision Academy School,,,False,,2020-03-13,2020-03-30,False,False,False,False,False,False,False,False,,,,,,
Prosper ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Rains ISD,https://www.rainsisd.org/14134_1,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Ranch Academy,https://www.raschools.com/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Rankin ISD,,,False,,2020-03-16,2020-03-20,False,False,True,False,False,True,False,False,,,,,,
Rice ISD,https://www.rice-isd.org/,Details: Students grades Pre-K through,False,IMS Pickup,2020-03-16,2020-03-20,False,True,True,False,False,True,False,False,10:00 AM,11:00 AM,,,,
Richardson ISD,http://www.richardson.k12.tx.us/,,False,,2020-03-01,2021-03-01,True,False,False,False,False,False,True,False,,,,,,
Richard Milburn Academy,https://www.rmaschools.org/students/services-and-resources/web-links/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Riesel ISD,https://www.rieselisd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=122&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=777&PageID=9,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Robert Lee ISD,https://www.rlisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Rockdale ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Rocksprings ISD,https://www.rockspringsisd.net,Details: Lunch pick up behind the cafeteria. If you live within the city limits,False,Not specified,2020-03-16,2020-03-20,False,False,True,False,True,False,False,False,,,,,,
Rockwall ISD,https://www.facebook.com/pg/rockwallisd/posts/?ref=page_internal,Details: To help our students and families,True,Dobbs and Rochell,2020-03-16,2020-04-03,False,False,True,False,True,False,False,False,11:00 AM,1:00 PM,,,,
Rogers ISD,https://www.rogersisd.org/apps/news/article/1186323,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Rosebud-Lott ISD,https://www.rlisd.org/apps/news/article/1184743,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
